Occupation,Factor,Mean,Major?, 
Radiologic Technologists,1.192,"$60,320 ",,
Magnetic Resonance Imaging Technologists,1.393,"$70,490 ",,
Emergency Medical Technicians and Paramedics,0.725,"$36,700 ",,
Health Practitioner Support Technologists and Technicians,0.709,"$35,910 ",,
Dietetic Technicians,0.585,"$29,610 ",,
Pharmacy Technicians,0.653,"$33,060 ",,
Psychiatric Technicians,0.713,"$36,070 ",,
Respiratory Therapy Technicians,1.006,"$50,900 ",,
Surgical Technologists,0.949,"$48,060 ",,
Veterinary Technologists and Technicians,0.686,"$34,710 ",,
Ophthalmic Medical Technicians,0.741,"$37,500 ",,
Licensed Practical and Licensed Vocational Nurses,0.903,"$45,710 ",,
Medical Records and Health Information Technicians,0.846,"$42,820 ",,
"Opticians, Dispensing",0.772,"$39,070 ",,
Miscellaneous Health Technologists and Technicians,0.96,"$48,600 ",,
Orthotists and Prosthetists,1.402,"$70,970 ",,
Hearing Aid Specialists,1.127,"$57,030 ",,
"Health Technologists and Technicians, All Other",0.922,"$46,690 ",,
Other Healthcare Practitioners and Technical Occupations,1.282,"$64,870 ",,
Occupational Health and Safety Specialists and Technicians,1.385,"$70,120 ",,
Occupational Health and Safety Specialists,1.454,"$73,600 ",,
Occupational Health and Safety Technicians,1.065,"$53,930 ",,
Miscellaneous Health Practitioners and Technical Workers,1.117,"$56,550 ",,
Athletic Trainers,0.961,"$48,630 ",,
Genetic Counselors,1.543,"$78,130 ",,
"Healthcare Practitioners and Technical Workers, All Other",1.197,"$60,600 ",,
Healthcare Support Occupations,0.619,"$31,310 ",*,
"Nursing, Psychiatric, and Home Health Aides",0.536,"$27,110 ",,
Home Health Aides,0.48,"$24,280 ",,
Psychiatric Aides,0.579,"$29,330 ",,
Nursing Assistants,0.564,"$28,540 ",,
Orderlies,0.573,"$28,990 ",,
Occupational Therapy and Physical Therapist Assistants and Aides,0.974,"$49,300 ",,
Occupational Therapy Assistants and Aides,1.095,"$55,450 ",,
Occupational Therapy Assistants,1.175,"$59,470 ",,
Occupational Therapy Aides,0.667,"$33,780 ",,
Physical Therapist Assistants and Aides,0.931,"$47,120 ",,
Physical Therapist Assistants,1.138,"$57,620 ",,
Physical Therapist Aides,0.551,"$27,910 ",,
Other Healthcare Support Occupations,0.704,"$35,650 ",,
Massage Therapists,0.888,"$44,950 ",,
Miscellaneous Healthcare Support Occupations,0.691,"$34,980 ",,
Dental Assistants,0.764,"$38,690 ",,
Medical Assistants,0.663,"$33,580 ",,
Medical Equipment Preparers,0.732,"$37,060 ",,
Medical Transcriptionists,0.719,"$36,400 ",,
Pharmacy Aides,0.573,"$29,030 ",,
Veterinary Assistants and Laboratory Animal Caretakers,0.545,"$27,570 ",,
Phlebotomists,0.686,"$34,710 ",,
"Healthcare Support Workers, All Other",0.763,"$38,600 ",,
Protective Service Occupations,0.932,"$47,190 ",*,
Supervisors of Protective Service Workers,1.478,"$74,810 ",,
First-Line Supervisors of Law Enforcement Workers,1.669,"$84,490 ",,
First-Line Supervisors of Correctional Officers,1.321,"$66,880 ",,
First-Line Supervisors of Police and Detectives,1.809,"$91,590 ",,
First-Line Supervisors of Fire Fighting and Prevention Workers,1.569,"$79,430 ",,
"First-Line Supervisors of Protective Service Workers, All Other",1.028,"$52,040 ",,
Fire Fighting and Prevention Workers,1.032,"$52,260 ",,
Firefighters,1.026,"$51,930 ",,
Fire Inspectors,1.185,"$59,960 ",,
Fire Inspectors and Investigators,1.23,"$62,260 ",,
Forest Fire Inspectors and Prevention Specialists,0.909,"$45,990 ",,
Law Enforcement Workers,1.181,"$59,790 ",,
